gene_name,index feature,mutual information
B2M,910,0.15986656325121723
DSC2,2937,0.1597246603595671
LAMTOR2,6214,0.1595622218893786
MALAT1,6776,0.15951561701091432
GPX4,5090,0.15939367569760898
SQSTM1,11088,0.15926922219053963
ATP5MC2,837,0.15916392697958884
MYEOV,7548,0.15893711461957116
CCT5,1619,0.15861122792915724
MRPL20,7338,0.15854606672834973
SKA2,10516,0.15844751910917582
PHGDH,8649,0.15839821001299437
TPX2,12097,0.15812432354139191
UBE2L6,12448,0.15809642424663617
AP2S1,512,0.15740791870351023
TUBG1,12349,0.15669393836218784
VSTM2L,12764,0.15626024181463782
RNASEH1,9889,0.15613242440740852
KRTCAP2,6181,0.15574931544056558
MGLL,7108,0.15450735129878856
H2AX,5211,0.15445712730974379
EEF1E1,3072,0.15415575463561426
ARHGDIA,617,0.15309077071288574
TPT1,12095,0.15273471562849678
ADRM1,221,0.15205765811852862
PRADC1,9121,0.15205534938652907
TIMM10,11690,0.1515379455808951
VAMP8,12665,0.15122519503924925
CDCA8,1702,0.1511470159799297
ACAT2,91,0.15111709906920356
IFI6,5596,0.150874916289856
ZFP36,13094,0.15016263693884066
MBOAT2,6927,0.1499062272666732
IDS,5580,0.14950868916286636
GINS2,4889,0.1494097810260781
KATNBL1,5921,0.1481091284488773
DSG2,2943,0.14810066846245415
SMS,10847,0.14759514196271717
DEF8,2647,0.14750504839763745
GSPT1,5136,0.1471299161649631
DDX46,2627,0.146461778302333
FHL2,4550,0.14619045286868115
PSMA4,9279,0.1461890208821854
GPATCH4,5029,0.14539033583235306
PPP1R14B-AS1,9059,0.1450546594408094
LSM4,6667,0.14478996346753087
PEBP1,8544,0.1446081419249764
PSMB2,9286,0.14426336250862318
STEAP1,11206,0.1441629389906416
MCM4,6950,0.14412094558062952
POLR3K,8971,0.1433659963770836
MRPS15,7378,0.1430856019936005
RAC1,9547,0.14280768430430868
TGFBI,11624,0.14249292945265024
RTN4,10081,0.14214418507183285
DCTPP1,2580,0.14204712378005604
MT-CYB,7431,0.1419965167072103
PNO1,8891,0.14198729536124985
TIMM17A,11693,0.14190994072117585
MXD4,7532,0.14188493158235818
CLSPN,2078,0.14180614121782215
GLUL,4933,0.141548394689162
SDC2,10239,0.14102341761057316
CDCA4,1698,0.14098197428326684
PLEC,8807,0.14095830481320548
CCNA2,1580,0.14092973086923477
GTF3C6,5173,0.14085294853908387
LSM3,6666,0.1406171101683504
HES1,5335,0.14059596906125343
CCN1,1577,0.1405542931609745
KPNB1,6148,0.14034832076843712
DBF4,2536,0.14025042199619162
NAA50,7613,0.14017226320836093
H3-3B,5224,0.13980556513438752
COPS3,2207,0.13978542291846713
ATP1B3,818,0.13969409947661943
SIVA1,10511,0.13968344794360277
RNF126,9908,0.1394304415011761
PRPS1,9219,0.13939504672408487
SIPA1,10499,0.139308242285767
RHOA,9822,0.13928894361912703
RALA,9578,0.13917343586784817
GHITM,4880,0.1389186946250203
TFDP1,11606,0.13889609214949977
MZT1,7595,0.13885010046679344
TRAM1,12118,0.13846343690482046
APLP2,541,0.1378368033629517
ERBB2,4133,0.13780985237437635
AIM2,290,0.13763919093785765
USP1,12589,0.13763640678311514
IFT57,5624,0.13737988051650313
EBNA1BP2,3035,0.13734874000083774
CDC42EP1,1684,0.1373367124062432
GSTK1,5141,0.13731723973545434
CDCA5,1699,0.13731508705222106
TXNL4A,12385,0.1373090857778847
EMG1,3230,0.13719993545862952
JUND,5897,0.13713850709839137
CXCL8,2461,0.13705209357357964
H1-2,5201,0.13689069998984343
AKR1A1,321,0.1364567676561026
PA2G4,8296,0.136347062297834
TRMT6,12217,0.13632684416818772
EMC8,3225,0.13616501230578587
SRP72,11111,0.1359307643872933
CKS2,2018,0.1356752466120409
MRTO4,7405,0.1356732915097275
NAA10,7604,0.13532910456055264
ARF5,581,0.13516974750189603
EIF2S1,3144,0.13500473519992373
RAD21,9555,0.13475544450191668
LMTK3,6551,0.13417454621495725
CCT6A,1620,0.13414407182368537
PSMC5,9299,0.13411542614664482
CENPW,1812,0.13376801699111537
SNRPG,10910,0.13367676186570931
TINAGL1,11706,0.1334823178376398
IGBP1,5632,0.1333961938584789
SYCE1L,11354,0.13336427734214948
GAA,4737,0.13312463688590404
RAB5IF,9526,0.13307814630312864
EMC7,3224,0.13292858449662598
NUDT1,8106,0.13282768002298753
PFDN2,8582,0.1326430372465849
RAD23A,9556,0.132585312721758
CENPF,1796,0.1325660353297809
OAZ2,8177,0.13250464699718534
SNRPD1,10905,0.13241166990498468
ATAD3A,763,0.132297579911631
CCN2,1578,0.1322742178708205
APRT,562,0.1320246189961477
POLR1G,8945,0.13180456056863282
PRKRA,9185,0.1315753298755992
RTKN2,10073,0.13152571039008396
FKBP10,4568,0.13145381585838928
ATAD3B,764,0.13125134064806995
PHLDA1,8655,0.13106450546784604
PTS,9405,0.13100739161214203
MYBL2,7540,0.13084703641305628
ANLN,471,0.13061620471040952
DNTTIP1,2876,0.13053669702570692
KLHDC2,6093,0.13036196802631356
PSMD14,9306,0.13032815825289518
GTSE1,5181,0.1301822129703151
CRIP1,2320,0.1301103765694778
PAICS,8324,0.13004234315150487
LRR1,6612,0.12997875964757993
SDHB,10255,0.12986052680786178
ARPC1B,695,0.12974614898777193
CMC2,2092,0.1295308578896431
UCHL3,12504,0.12943407496186787
ACOT9,109,0.12930613708783864
YWHAQ,12968,0.12928692759049765
PRC1,9125,0.12926950586256553
ERO1A,4167,0.1292243480587363
PSMD11,9303,0.12921891857079276
SEH1L,10290,0.12918568986002127
TOMM22,12024,0.1291360382167216
SUMO3,11317,0.1289531827457673
LZIC,6727,0.12886088847232202
ZFTRAF1,13111,0.1288595605105181
PYGB,9441,0.1288499862266796
TMEM179B,11839,0.12868919977615337
SMIM22,10825,0.12825684194860718
CTHRC1,2402,0.12794547936758008
DESI1,2682,0.12794254329747745
ENO1,3252,0.12788259241596706
WFDC2,12859,0.12779839213721897
PKP3,8770,0.12717868426861015
S100A14,10114,0.12702130565255382
ATP2B1,824,0.1270174972972068
ENSG00000184674,3350,0.12689651335083824
MCUR1,6971,0.12678510716341335
CAMK2N1,1377,0.1264227104235856
RND3,9898,0.12630737322431823
ZFP36L1,13095,0.12615767251560234
ENSG00000117289,3284,0.12596352592251078
TPRKB,12091,0.12593336161819244
AURKA,897,0.1258020810229172
GLRX2,4925,0.12567658908408577
IFI27L2,5591,0.1256547777520637
WDR77,12846,0.12553268024707667
LRRC59,6637,0.12526422859959058
BOLA3,1106,0.12523807350709923
SLC7A5,10735,0.12521882096718676
UBA2,12408,0.12519270569464297
VMA21,12712,0.12517240576799052
MRPS5,7397,0.12506254958259638
VBP1,12679,0.12499870211111187
GFUS,4867,0.1248975194548196
CCNB2,1583,0.12487634514519852
PSMD2,9308,0.1248348003367832
NCL,7700,0.12472881785161169
SH3BGRL3,10436,0.12447806427939155
DUSP4,2980,0.12435318180724096
UCK2,12507,0.12433389445731946
RNASEH2A,9891,0.12428202898087218
SELENOM,10298,0.12416695760491246
NOP16,7962,0.12393728684296909
ACTR3,137,0.12377659552127117
SH3KBP1,10448,0.12364117429316669
CHCHD3,1912,0.12361822156558076
AP1S1,505,0.1235932338435433
KNSTRN,6139,0.12352277492714897
OCIAD2,8185,0.12336651164143234
CALR,1370,0.1233261514310706
STOM,11246,0.12329667099543237
DKC1,2762,0.12327815342304195
NME3,7926,0.1232601248403552
SLC25A37,10602,0.12304411749182748
NDUFA7,7737,0.1229889759099502
SSRP1,11155,0.12284492020643512
CTPS1,2411,0.12277728905290165
SERPINB5,10350,0.12267053246690048
DNAJC9,2856,0.1226428970381857
XRCC5,12916,0.12260642894337449
SERPINE2,10354,0.1224887505260904
CDV3,1766,0.12219281983422112
CD59,1647,0.1221436362926844
PRSS8,9256,0.12213102673797775
LYRM4,6717,0.12199397329406259
FAM174C,4320,0.12181958225923246
KLC1,6073,0.12146236270376637
PPP2CB,9085,0.12142099233858776
H2BC12,5217,0.12132317275206989
ZNF8-ERVK3-1,13567,0.12129592898196914
MIF,7147,0.12109011174917612
TNNI3,12000,0.12105764332567656
TOP1,12033,0.12100915647844601
MFSD10,7085,0.12083490997302618
LUZP1,6692,0.1207640819089465
TIMM50,11699,0.12070766851809508
ACP6,117,0.1206021906898234
ATF4,772,0.12044177604733897
EPHX1,4112,0.12034640719589346
AGTRAP,271,0.12015874039530502
RWDD4,10105,0.12004294274575963
MAGED1,6761,0.12000160753432783
EXOC7,4232,0.11999822741060855
ZFYVE21,13117,0.11976747921912306
DPP7,2917,0.11959621919508168
TMED3,11773,0.11952004104562346
PFKP,8591,0.11943816080781561
SMIM1,10813,0.11931074515001008
UBE2S,12455,0.11920845497736404
NDUFA3,7732,0.11918852012436107
JAG1,5868,0.11908527418886827
SMAD3,10774,0.11902114276444396
CHPF,1957,0.11900357756086222
AK6,301,0.11893418335075824
WWTR1,12891,0.11872350938974392
SPTSSB,11084,0.11871641172154151
MRPL12,7329,0.11870343202484786
ADIRF,202,0.1186781220942344
ARF6,582,0.11866708385868757
FEN1,4512,0.11855650679607181
MRPL58,7372,0.11851608818082146
PRSS23,9253,0.11851426128753104
EIF4G2,3170,0.11848272532520884
TMEM219,11865,0.11823000265837752
SQLE,11086,0.11820290738375286
TMPO,11945,0.11809879128424806
PLD3,8805,0.11799865701212069
BAZ1A,971,0.11781978034595719
SRI,11104,0.11781547006489732
ZFP36L2,13096,0.1176212761507773
HEBP2,5310,0.11755643045837552
ENOPH1,3256,0.11753550857243325
SIK1,10491,0.11744427410462324
ACTN1,131,0.11737103914262473
VRK1,12756,0.11724271815799944
NUF2,8125,0.11720850034264069
IP6K2,5763,0.11714033366978441
UNC93B1,12549,0.1170770106571846
GLO1,4920,0.11695301090198625
BUB3,1185,0.11693513940273248
AKR1B1,322,0.11690996861057082
U2SURP,12403,0.11690990320699256
CKAP2L,2011,0.11686319137862976
ARPC2,696,0.11680045911962703
YPEL3,12954,0.11679085436026364
ATP5MC1,836,0.11667013609826775
EIF2B1,3137,0.1164836108522197
FUCA1,4694,0.1164034141440983
ZC3H15,13029,0.1163582737329624
RHOBTB3,9826,0.11634015525645268
WDR1,12802,0.11632328012104193
DRAP1,2931,0.11630534232819141
FERMT2,4515,0.11626557423645976
COQ4,2221,0.11605089920423599
DCUN1D5,2585,0.11570203603125014
DYNLT3,3010,0.1151128502476268
MPDU1,7284,0.11467994496178499
MSN,7418,0.11462979545246862
WDR5,12829,0.11447458073878196
SH3BGRL,10434,0.11433605815155999
IDH3A,5574,0.11432087130389595
ING2,5714,0.11420427305114042
PABPN1,8306,0.1142006495402497
CAMTA1,1386,0.11410216603792978
RAB13,9481,0.1140404751860757
MRPS12,7376,0.11401192615750858
CYTOR,2512,0.11394870703298354
PSMC3,9296,0.1138699097095912
ARHGAP11A,596,0.11367446606558676
P4HTM,8295,0.11364819126897176
EXOSC8,4244,0.11354510731619369
ANP32E,481,0.11353143162132709
GTF2E2,5153,0.1135258209696872
PALLD,8335,0.11348094222249193
FBXO22,4459,0.11342270343441038
METRN,7049,0.11336550223566479
TM4SF1,11741,0.11333959301664556
PSMB7,9290,0.11307496657586727
PSMB6,9289,0.11303420414986937
TRIM16,12151,0.11301272150572836
MCUB,6970,0.1129587899032889
MYADM,7536,0.11289157362553781
ZDHHC3,13066,0.11264965467844469
DPM3,2914,0.11256203078926597
SLC25A39,10604,0.11255830593005396
PPP1CC,9048,0.11252724447843798
CYB5B,2471,0.11251177393776839
MAPKAPK3,6870,0.11251151421721424
PTK2,9361,0.11233429489532654
RPA3,9994,0.11225718129744498
TMEM165,11829,0.11218629085454586
CNIH4,2113,0.11205812151910352
PSMG1,9322,0.11198165861815484
TRIP6,12199,0.11194850963880032
SPINK5,11041,0.11185538732482336
LSM5,6668,0.11183989146440437
CTSA,2415,0.1118395765198042
POLDIP2,8923,0.11176393268157547
RGCC,9793,0.11167585360496349
TEDC1,11562,0.11157911894946244
PSMG3,9324,0.11150836914669585
CDC42EP3,1686,0.11147706574097638
PHB1,8624,0.1113676380365409
NUDT5,8120,0.11135769044365618
C8orf33,1321,0.11120284129337438
C11orf24,1196,0.11118982453060428
DYNC2I2,3002,0.11118921585014226
SZRD1,11392,0.1111101831783887
PLK1,8839,0.11103725169422897
RAD1,9552,0.11100529448181184
MAGED2,6762,0.11100218693920372
ANKRD39,456,0.11097979642022243
LRP5,6606,0.1109500570056419
INO80C,5725,0.11091715440325459
FAM241A,4354,0.1108329236418054
COX6A1P2,2250,0.11078110860676244
TSPAN3,12263,0.11076208087864768
HMBS,5399,0.11074823447025495
ELF3,3188,0.11073071991620768
NUDT14,8109,0.11070038720266512
CBX5,1480,0.11065613486200176
SMC2,10798,0.11064382162357025
INF2,5712,0.11063436837984454
MRPL27,7344,0.11055898570865588
NUDT15,8110,0.11054024131352469
DEK,2650,0.11053759237012475
GAMT,4779,0.11041999605337614
PSMD1,9301,0.11039701183537265
ZNF511,13370,0.1103452780453032
RALB,9579,0.11032834780751728
ARPC1A,694,0.11019292548260247
FDX1,4504,0.10999326562010399
DNAJC19,2840,0.10998679541774856
TIMM8A,11700,0.10995252334317425
STRAP,11258,0.10993480352999266
KXD1,6188,0.10976833725991979
COPRS,2205,0.10970022982753098
NIFK,7879,0.10962285522862604
TCEA2,11517,0.10958211147141424
LRATD2,6587,0.10954704845213187
LYPLA1,6712,0.10953052787325859
POMP,8977,0.10949260665498632
PTOV1,9367,0.10945503426968603
CINP,1998,0.10945293477506164
EMD,3227,0.10943234128114138
RBM17,9670,0.10943000743884379
POLR3H,8970,0.10940927592443572
LAMP1,6211,0.10931651089921465
MGME1,7109,0.10921738261987969
COMMD4,2189,0.10918399662220366
IMP4,5702,0.1091819535430025
TMEM38B,11894,0.10910363651621038
EMC9,3226,0.1090592726139735
MPG,7287,0.10901587731198877
PTMA,9365,0.10900250594201195
AK2,298,0.10899659194120594
NT5E,8081,0.10897936948315719
TCOF1,11539,0.10891644587575489
RFC2,9773,0.10886762763093771
MRPL18,7335,0.10877319717541793
SAC3D1,10127,0.10875631034546004
LAMA5,6204,0.10871078928320181
TSPAN13,12258,0.10867725428108438
TJP1,11715,0.10848273480194509
EFHD2,3091,0.10847059111946225
HDDC2,5294,0.1083647693545643
SERBP1,10340,0.10835012042607198
CDCA3,1697,0.10831571390638069
SAPCD2,10153,0.1082436115932003
UBE2I,12443,0.10809693736474764
HACD1,5232,0.1080844279514227
OLA1,8207,0.10806456485119584
TRIAP1,12144,0.10805909689088346
SNW1,10919,0.1080102985677332
ABCA7,25,0.10789152176837144
MRPL54,7369,0.1078363707927312
GABARAP,4740,0.10780933512084524
MKKS,7199,0.10779721834006809
MRPL48,7363,0.10775013522445615
PHF5A,8645,0.10770831058107239
CLCF1,2024,0.10769579039441599
PTPRF,9392,0.10766079344346877
NQO2,8008,0.10764169393901026
ADAR,170,0.10747448185491984
BRI3BP,1136,0.10745614914589406
COX17,2242,0.10740449407765139
KCMF1,5930,0.10728803862489306
LMNB2,6543,0.1071635754553765
TPD52L2,12072,0.10710566154094095
NELFE,7808,0.1070971636901297
OSTC,8258,0.10706363059079337
ZNF580,13424,0.10699998850670908
ELOVL1,3206,0.10698476813343621
CCNL1,1599,0.10697110197364751
LRIF1,6597,0.10683822113641672
FAM83D,4374,0.10682639381785786
TAPBP,11442,0.10682319424258746
RFC3,9774,0.10680132493998512
RAB10,9471,0.10677879960642564
CRELD2,2316,0.1067682812124691
PODXL2,8907,0.10673831137529213
ENSG00000248112,3570,0.10672144449059894
POLR2E,8952,0.10664486939699988
SYNCRIP,11363,0.1066388158856411
CD81,1654,0.10659429737785492
MIR4435-2HG,7180,0.10646228926096571
PSMB5,9288,0.106267461597514
BCL7B,1018,0.10616558679490384
GLS,4928,0.10598032618172205
SLC39A4,10691,0.10597343857115125
HLA-E,5390,0.10586395835080833
DNAJC2,2841,0.10583794984827236
FAU,4418,0.10580785223216911
ACTN4,132,0.1057742613644945
FBXW5,4486,0.1056743920867499
PTBP1,9336,0.10564198427615966
TRAPPC1,12124,0.1055349503027392
CFL2,1893,0.10553025263543755
CARD19,1420,0.1054620982761265
CCDC167,1520,0.10545352238915288
DCPS,2569,0.1054507323547564
PSMB8,9291,0.10541030451274908
FARSB,4407,0.10533880747983274
WDR43,12822,0.10514549011680654
RPAIN,9996,0.10512909212861395
RNF5,9964,0.10511327083614039
ATP1A1,816,0.10509287561504616
ETF1,4193,0.104922603596222
PRDX3,9138,0.10490696436944037
EXOSC7,4243,0.10485753999459466
CLPP,2073,0.10484121765757495
MRPS18C,7383,0.1047926225784282
DNAJC15,2836,0.10465814006405928
IER5,5585,0.10465722621890147
ABRACL,72,0.10465148584896712
IFT43,5620,0.1045863319302574
TRIM16L,12152,0.10452241623322493
USP16,12596,0.10450482720594584
NDUFAF8,7748,0.10447888028106628
GEMIN6,4854,0.10446865732276514
PRPF4,9214,0.10442426784516284
NUDC,8102,0.1043684419464315
RPF2,10004,0.10433691761120445
BBLN,979,0.1043082421795895
UBE2A,12428,0.10429943340661972
NUDT3,8118,0.1042866630316838
MAF1,6750,0.10424426182561
SDAD1,10237,0.10423581768888956
CDC45,1691,0.10418190429137547
PDCD2,8483,0.10409835222944228
MRPS33,7394,0.104095201959352
DSCC1,2938,0.10409456446505849
HMGB3,5409,0.1040898238129439
POLE3,8927,0.1040673735536383
AMD1,389,0.1040516040178736
SECISBP2,10287,0.10403378613750962
MCM3,6947,0.1040196126825245
ECE1,3039,0.1040143926224421
PTTG1IP,9407,0.10399191841605385
CTSZ,2426,0.10398491049298281
MED6,7019,0.10395838506311515
DUT,2986,0.10383710595804867
ARHGAP29,605,0.1038146607631127
ENDOV,3248,0.10378920485362883
FAM136A,4304,0.1037246992345604
ABCF1,40,0.10368706891001822
BRMS1,1142,0.10359497133277382
CITED2,2007,0.1035825141157481
GGH,4874,0.10355987109436221
FIBCD1,4554,0.10351543687024564
SDF2,10247,0.10348051320318516
H2AC6,5209,0.10343301807025801
HIKESHI,5363,0.10339079285390007
MND1,7245,0.10338106977464173
VPS4A,12745,0.10327641119961639
COX7B,2256,0.10324201953688616
LAPTM4A,6222,0.10324115068556683
SLC2A4RG,10636,0.10320129616785903
NIP7,7887,0.10317370603645018
POP7,8986,0.10309474519197409
EMC10,3219,0.10304563441591458
TSC22D3,12239,0.10303744778773465
TOR1A,12042,0.10300322297147622
FASN,4409,0.10298022767452607
MRPL21,7340,0.10297337452337606
ACOT7,107,0.1029216412604936
EIF4B,3163,0.10290292067882165
VPS37B,12739,0.10289184982540917
GRPEL1,5120,0.10280939857621062
CPNE1,2272,0.10278421540416312
GCHFR,4832,0.10276036800287448
CDKN2AIPNL,1754,0.10266042751314639
GMNN,4945,0.10265757064846917
CNBP,2105,0.10262544256647202
PLAU,8787,0.10257545401568013
SLC25A19,10585,0.10256264208538124
PRAF2,9122,0.1025445080405244
IFT20,5616,0.1025172437243905
DDX21,2614,0.10251393527223743
REX1BD,9767,0.1024958611275477
MTFP1,7463,0.10245729019620184
ANXA5,492,0.10245197433948705
MAP3K9-DT,6837,0.10244099092531317
FBXO9,4482,0.10242673992667645
TMX1,11964,0.10237498690661671
RNF187,9935,0.1023706472760097
RABEPK,9536,0.10232199977875958
SNHG32,10884,0.10228551058895582
CEP20,1829,0.10224031717892611
CBS,1475,0.10216103294453076
SRP68,11110,0.10213990756935483
PET117,8563,0.10209486427293077
ANTXR2,483,0.10203135872123414
HTATIP2,5532,0.1019700577898087
ITGAE,5832,0.10190536512083172
TEX30,11594,0.10190065329139297
RNASEH2B,9892,0.10186773386631445
MED8,7021,0.10185795391065534
KIF23,6049,0.10179939181875725
MACROD1,6739,0.10179852396607349
AAMDC,8,0.10176528428230203
CAB39,1336,0.10174791699493815
PPP1CA,9045,0.1017339074941122
SREBF1,11095,0.10171882198585286
TWF2,12369,0.1017031748681669
RPA2,9993,0.10167979425144988
ID4,5569,0.10156261732238138
MAP7D1,6849,0.10155151515454301
MRPL9,7373,0.10153326173222377
TMEM129,11801,0.10152153185804162
ATG3,788,0.10138721317236978
CAND1,1389,0.10134437679181117
MRPS6,7398,0.10134119119675564
POLD2,8920,0.10133865982639673
HRAS,5474,0.10133297843073251
RAN,9591,0.1013286271474865
ERP29,4169,0.10130738151881503
MRPL19,7336,0.10129680644341843
SMC3,10799,0.1012366442381996
UGDH,12521,0.10121779401552607
DNAJC4,2851,0.1011214783274092
RBM3,9680,0.10112000177405756
PFDN4,8583,0.10111750415682341
RBM23,9674,0.10110065696938543
FANCI,4397,0.10108080912855476
POP4,8984,0.10107451135261207
FAM204A,4332,0.10107153729860356
TPPP3,12085,0.10107054826497353
UBE2B,12429,0.10105565480703245
RUNX1,10093,0.10100621391854012
OTUD6B-AS1,8268,0.10097374302376547
HNRNPA1,5428,0.10096809359815656
FKBP8,4579,0.10092057703116705
BANF1,960,0.10091729606965233
PCNA,8460,0.10083729571704415
EXOSC3,4239,0.10081533113892897
YPEL5,12956,0.10080894941448955
